"Date","Line state","Last drop reason","US bitrate (Kbps)","DS bitrate (Kbps)","US FEC fast","DS FEC fast","US CRC fast","DS CRC fast","US HEC fast","DS HEC fast","US FEC interleaved","DS FEC interleaved","US CRC interleaved","DS CRC interleaved","US HEC interleaved","DS HEC interleaved","US line capacity (%)","DS line capacity (%)","US noise margin (dB)","DS noise margin (dB)","US output power (dBm)","DS output power (dBm)","US attenuation (dB)","DS attenuation (dB)","US errored seconds (ES)","DS errored seconds (ES)","US severly errored seconds (SES)","DS severly errored seconds (SES)","US unavailable seconds (UAS)","DS unavailable seconds (UAS)","TX ethernet packets","RX ethernet packets"
Feb 24 00:45:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.6,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54423683,123725224
Feb 24 00:46:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.7,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54426446,123730261
Feb 24 00:47:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.1,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54437143,123745793
Feb 24 00:48:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54448485,123770459
Feb 24 00:49:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.1,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54462025,123805671
Feb 24 00:50:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.8,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54465857,123814647
Feb 24 00:51:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54471639,123825382
Feb 24 00:52:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54475407,123832358
Feb 24 00:53:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54479292,123839502
Feb 24 00:54:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54482180,123844819
Feb 24 00:55:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54484686,123849671
Feb 24 00:56:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.1,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54487769,123855205
Feb 24 00:57:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,7.0,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54490597,123860610
Feb 24 00:58:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54493591,123866188
Feb 24 00:59:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.7,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54497030,123872275
Feb 24 01:00:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.6,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54499890,123877680
Feb 24 01:01:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54503036,123883362
Feb 24 01:02:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54506189,123889231
Feb 24 01:03:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.8,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54509269,123895236
Feb 24 01:04:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54514185,123903647
Feb 24 01:05:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,30.9,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54539717,123955890
Feb 24 01:06:25,3,0,8191,100013,0,0,0,14609,0,0,0,0,0,0,0,0,100,100,31.0,6.9,0.1,14.2,0.0,5.4,0,64,0,11,18,18,54561714,123997627
